year,country_name,source_group,electricity_twh
2025,Mongolia,Fossil,8.88
2025,Mongolia,Low Carbon,0.0
2025,Mongolia,Renewable,0.81
2025,Montenegro,Fossil,0.6
2025,Montenegro,Low Carbon,0.0
2025,Montenegro,Renewable,1.8599999999999999
2025,Morocco,Fossil,33.84
2025,Morocco,Low Carbon,0.0
2025,Morocco,Renewable,10.7
2025,Netherlands,Fossil,61.870000000000005
2025,Netherlands,Low Carbon,3.99
2025,Netherlands,Renewable,75.95
2025,New Zealand,Fossil,4.97
2025,New Zealand,Low Carbon,0.0
2025,New Zealand,Renewable,38.94
2025,Nigeria,Fossil,28.53
2025,Nigeria,Low Carbon,0.0
2025,Nigeria,Renewable,13.07
2025,North Macedonia,Fossil,3.5999999999999996
2025,North Macedonia,Low Carbon,0.0
2025,North Macedonia,Renewable,3.2600000000000002
2025,Norway,Fossil,1.6099999999999999
2025,Norway,Low Carbon,0.0
2025,Norway,Renewable,159.44000000000003
2025,Oman,Fossil,50.44
2025,Oman,Low Carbon,0.0
2025,Oman,Renewable,2.4
2025,Pakistan,Fossil,87.94999999999999
2025,Pakistan,Low Carbon,23.71
2025,Pakistan,Renewable,85.03999999999999
2025,Paraguay,Fossil,0.0
2025,Paraguay,Low Carbon,0.0
2025,Paraguay,Renewable,45.589999999999996
2025,Peru,Fossil,21.97
2025,Peru,Low Carbon,0.0
2025,Peru,Renewable,39.12
2025,Philippines,Fossil,94.42
2025,Philippines,Low Carbon,0.0
2025,Philippines,Renewable,30.15
2025,Poland,Fossil,118.66999999999999
2025,Poland,Low Carbon,0.0
2025,Poland,Renewable,63.07000000000001
2025,Portugal,Fossil,9.74
2025,Portugal,Low Carbon,0.0
2025,Portugal,Renewable,44.87
2025,Puerto Rico,Fossil,18.98
2025,Puerto Rico,Low Carbon,0.0
2025,Puerto Rico,Renewable,1.3
2025,Qatar,Fossil,53.9
2025,Qatar,Low Carbon,0.0
2025,Qatar,Renewable,2.41
2025,Romania,Fossil,16.18
2025,Romania,Low Carbon,10.2
2025,Romania,Renewable,23.919999999999998
2025,Russia,Fossil,767.16
2025,Russia,Low Carbon,218.65
2025,Russia,Renewable,207.74999999999997
2025,Serbia,Fossil,26.44
2025,Serbia,Low Carbon,0.0
2025,Serbia,Renewable,10.590000000000002
2025,Singapore,Fossil,56.85
2025,Singapore,Renewable,4.96
2025,Slovakia,Fossil,4.319999999999999
2025,Slovakia,Low Carbon,19.33
2025,Slovakia,Renewable,7.03
2025,Slovenia,Fossil,3.13
2025,Slovenia,Low Carbon,5.83
2025,Slovenia,Renewable,6.17
2025,South Africa,Fossil,199.45
2025,South Africa,Low Carbon,10.21
2025,South Africa,Renewable,33.57
2025,South Korea,Fossil,375.06
2025,South Korea,Low Carbon,184.67
2025,South Korea,Renewable,84.62
2025,Spain,Fossil,73.01
2025,Spain,Low Carbon,54.07
2025,Spain,Renewable,167.22
2025,Sri Lanka,Fossil,6.62
2025,Sri Lanka,Renewable,10.86
2025,Sweden,Fossil,2.08
2025,Sweden,Low Carbon,47.1
2025,Sweden,Renewable,131.49
2025,Switzerland,Fossil,1.5
2025,Switzerland,Low Carbon,19.42
2025,Switzerland,Renewable,45.14
2025,Taiwan,Fossil,249.83999999999997
2025,Taiwan,Low Carbon,3.25
2025,Taiwan,Renewable,37.4
2025,Tajikistan,Fossil,1.39
2025,Tajikistan,Low Carbon,0.0
2025,Tajikistan,Renewable,23.28
2025,Thailand,Fossil,157.04000000000002
2025,Thailand,Renewable,41.39
2025,Tunisia,Fossil,21.41
2025,Tunisia,Low Carbon,0.0
2025,Tunisia,Renewable,0.9000000000000001
2025,Turkey,Fossil,200.79000000000002
2025,Turkey,Low Carbon,0.0
2025,Turkey,Renewable,161.55
2025,United Kingdom,Fossil,104.00999999999999
2025,United Kingdom,Low Carbon,36.38
2025,United Kingdom,Renewable,193.13
2025,United States,Fossil,2576.21
2025,United States,Low Carbon,784.78
2025,United States,Renewable,1204.99
2025,Uruguay,Fossil,0.26
2025,Uruguay,Low Carbon,0.0
2025,Uruguay,Renewable,14.65
2025,Uzbekistan,Fossil,69.9
2025,Uzbekistan,Low Carbon,0.0
2025,Uzbekistan,Renewable,16.8
2025,Vietnam,Fossil,169.20000000000002
2025,Vietnam,Low Carbon,0.0
2025,Vietnam,Renewable,141.82
